🕘️更新时间,#genre#
2026-01-30 17:43:42,http://123.118.230.51:9090/rtp/239.3.1.129:8008

📺央视频道,#genre#
CCTV-1,http://123.118.230.51:9090/rtp/239.3.1.129:8008
CCTV-1,http://180.165.7.10:4022/rtp/233.18.204.168:5140
CCTV-1,http://180.165.7.10:4022/rtp/233.18.204.52:5140
CCTV-1,http://14.154.191.61:4022/rtp/239.77.0.129:5146
CCTV-1,http://14.154.191.61:4022/rtp/239.77.0.86:5146
CCTV-2,http://123.118.230.51:9090/rtp/239.3.1.60:8084
CCTV-2,http://180.165.7.10:4022/rtp/233.18.204.68:5140
CCTV-2,http://14.154.191.61:4022/rtp/239.77.1.158:5146
CCTV-2,http://14.154.191.61:4022/rtp/239.77.0.137:5146
CCTV-3,http://123.118.230.51:9090/rtp/239.3.1.172:8001
CCTV-3,http://180.165.7.10:4022/rtp/233.18.204.69:5140
CCTV-3,http://180.165.7.10:4022/rtp/233.18.204.22:5140
CCTV-3,http://14.154.191.61:4022/rtp/239.77.1.7:5146
CCTV-3,http://14.154.191.61:4022/rtp/239.77.0.32:5146
CCTV-4,http://123.118.230.51:9090/rtp/239.3.1.105:8092
CCTV-4,http://180.165.7.10:4022/rtp/233.18.204.70:5140
CCTV-4,http://180.165.7.10:4022/rtp/233.18.204.23:5140
CCTV-4,http://14.154.191.61:4022/rtp/239.77.1.166:5146
CCTV-4,http://14.154.191.61:4022/rtp/239.77.0.78:5146
CCTV-5,http://123.118.230.51:9090/rtp/239.3.1.173:8001
CCTV-5,http://180.165.7.10:4022/rtp/233.18.204.71:5140
CCTV-5,http://14.154.191.61:4022/rtp/239.77.0.34:5146
CCTV-5,http://14.154.191.61:4022/rtp/239.77.1.8:5146
CCTV-5,http://180.165.7.10:4022/rtp/233.18.204.24:5140
CCTV-5+,http://123.118.230.51:9090/rtp/239.3.1.130:8004
CCTV-5+,http://180.165.7.10:4022/rtp/233.18.204.67:5140
CCTV-5+,http://14.154.191.61:4022/rtp/239.77.0.87:5146
CCTV-5+,http://14.154.191.61:4022/rtp/239.77.1.31:5146
CCTV-6,http://123.118.230.51:9090/rtp/239.3.1.174:8001
CCTV-6,http://180.165.7.10:4022/rtp/233.18.204.72:5140
CCTV-6,http://14.154.191.61:4022/rtp/239.77.0.171:5146
CCTV-6,http://14.154.191.61:4022/rtp/239.77.0.35:5146
CCTV-6,http://14.154.191.61:4022/rtp/239.77.1.9:5146
CCTV-7,http://123.118.230.51:9090/rtp/239.3.1.61:8104
CCTV-7,http://180.165.7.10:4022/rtp/233.18.204.73:5140
CCTV-7,http://14.154.191.61:4022/rtp/239.77.0.36:5146
CCTV-7,http://14.154.191.61:4022/rtp/239.77.1.159:5146
CCTV-7,http://180.165.7.10:4022/rtp/233.18.204.26:5140
CCTV-8,http://123.118.230.51:9090/rtp/239.3.1.175:8001
CCTV-8,http://180.165.7.10:4022/rtp/233.18.204.74:5140
CCTV-8,http://180.165.7.10:4022/rtp/233.18.204.27:5140
CCTV-8,http://14.154.191.61:4022/rtp/239.77.0.37:5146
CCTV-8,http://14.154.191.61:4022/rtp/239.77.0.172:5146
CCTV-9,http://123.118.230.51:9090/rtp/239.3.1.62:8112
CCTV-9,http://180.165.7.10:4022/rtp/233.18.204.75:5140
CCTV-9,http://180.165.7.10:4022/rtp/233.18.204.40:5140
CCTV-9,http://14.154.191.61:4022/rtp/239.77.0.135:5146
CCTV-9,http://14.154.191.61:4022/rtp/239.77.1.160:5146
CCTV-10,http://123.118.230.51:9090/rtp/239.3.1.63:8116
CCTV-10,http://180.165.7.10:4022/rtp/233.18.204.76:5140
CCTV-10,http://180.165.7.10:4022/rtp/233.18.204.29:5140
CCTV-10,http://14.154.191.61:4022/rtp/239.77.1.113:5146
CCTV-10,http://14.154.191.61:4022/rtp/239.77.0.39:5146
CCTV-11,http://123.118.230.51:9090/rtp/239.3.1.152:8120
CCTV-11,http://180.165.7.10:4022/rtp/233.18.204.77:5140
CCTV-11,http://14.154.191.61:4022/rtp/239.77.1.238:5146
CCTV-11,http://14.154.191.61:4022/rtp/239.77.1.108:5146
CCTV-11,http://14.154.191.61:4022/rtp/239.77.0.40:5146
CCTV-12,http://123.118.230.51:9090/rtp/239.3.1.64:8124
CCTV-12,http://180.165.7.10:4022/rtp/233.18.204.78:5140
CCTV-12,http://14.154.191.61:4022/rtp/239.77.1.109:5146
CCTV-12,http://180.165.7.10:4022/rtp/233.18.204.31:5140
CCTV-12,http://14.154.191.61:4022/rtp/239.77.0.136:5146
CCTV-13,http://180.165.7.10:4022/rtp/233.18.204.79:5140
